data_type,comparison_type,cell_type,comparison_name,comparison_side,sample_name,sample_group,new_comparison,toggle
RNA-seq,differential,HAP1,SMARCA4,0,RNA-seq_HAP1_WT_r1_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCA4,0,RNA-seq_HAP1_WT_r2_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCC1,1,RNA-seq_HAP1_SMARCC1_r1_2476_12,SMARCC1,0,1
RNA-seq,differential,HAP1,SMARCC1,1,RNA-seq_HAP1_SMARCC1_r2_2476_12,SMARCC1,0,1
RNA-seq,differential,HAP1,SMARCC1,0,RNA-seq_HAP1_WT_r1_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCC1,0,RNA-seq_HAP1_WT_r2_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCC2,1,RNA-seq_HAP1_SMARCC2_r1,SMARCC2,1,1
RNA-seq,differential,HAP1,SMARCC2,1,RNA-seq_HAP1_SMARCC2_r2,SMARCC2,1,1
RNA-seq,differential,HAP1,SMARCC2,1,RNA-seq_HAP1_SMARCC2_r3,SMARCC2,1,1
RNA-seq,differential,HAP1,SMARCC2,0,RNA-seq_HAP1_WT_r1,WT,1,1
RNA-seq,differential,HAP1,SMARCC2,0,RNA-seq_HAP1_WT_r2,WT,1,1
RNA-seq,differential,HAP1,SMARCC2,0,RNA-seq_HAP1_WT_r3,WT,1,1
RNA-seq,differential,HAP1,SMARCD1,1,RNA-seq_HAP1_SMARCD1_r1_2478_6,SMARCD1,0,1
RNA-seq,differential,HAP1,SMARCD1,1,RNA-seq_HAP1_SMARCD1_r2_2478_6,SMARCD1,0,1
RNA-seq,differential,HAP1,SMARCD1,0,RNA-seq_HAP1_WT_r1_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCD1,0,RNA-seq_HAP1_WT_r2_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCD2,1,RNA-seq_HAP1_SMARCD2_r1_2782_10,SMARCD2,0,1
RNA-seq,differential,HAP1,SMARCD2,1,RNA-seq_HAP1_SMARCD2_r2_2782_10,SMARCD2,0,1
RNA-seq,differential,HAP1,SMARCD2,0,RNA-seq_HAP1_WT_r1_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCD2,0,RNA-seq_HAP1_WT_r2_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCD3,1,RNA-seq_HAP1_SMARCD3_r1_2480_12,SMARCD3,0,1
RNA-seq,differential,HAP1,SMARCD3,1,RNA-seq_HAP1_SMARCD3_r2_2480_12,SMARCD3,0,1
RNA-seq,differential,HAP1,SMARCD3,0,RNA-seq_HAP1_WT_r1_C631,WT,0,1
RNA-seq,differential,HAP1,SMARCD3,0,RNA-seq_HAP1_WT_r2_C631,WT,0,1
RNA-seq,differential,HAP1,WT_dBet6,1,RNA-seq_HAP1_WT_r1_dBet6,WT_dBet6,0,0
RNA-seq,differential,HAP1,WT_dBet6,1,RNA-seq_HAP1_WT_r2_dBet6,WT_dBet6,0,0
RNA-seq,differential,HAP1,WT_dBet6,1,RNA-seq_HAP1_WT_r3_dBet6,WT_dBet6,0,0
RNA-seq,differential,HAP1,WT_dBet6,0,RNA-seq_HAP1_WT_r1,WT,0,0
RNA-seq,differential,HAP1,WT_dBet6,0,RNA-seq_HAP1_WT_r2,WT,0,0
RNA-seq,differential,HAP1,WT_dBet6,0,RNA-seq_HAP1_WT_r3,WT,0,0
RNA-seq,differential,OV90,ARID1A,1,RNA-seq_OV90_ARID1A_r1_21D,ARID1A,0,0
RNA-seq,differential,OV90,ARID1A,1,RNA-seq_OV90_ARID1A_r1_27B,ARID1A,0,0
RNA-seq,differential,OV90,ARID1A,1,RNA-seq_OV90_ARID1A_r2_21D,ARID1A,0,0
RNA-seq,differential,OV90,ARID1A,1,RNA-seq_OV90_ARID1A_r2_27B,ARID1A,0,0
RNA-seq,differential,OV90,ARID1A,1,RNA-seq_OV90_ARID1A_r3_21D,ARID1A,0,0
RNA-seq,differential,OV90,ARID1A,1,RNA-seq_OV90_ARID1A_r3_27B,ARID1A,0,0
RNA-seq,differential,OV90,ARID1A,0,RNA-seq_OV90_WT_r1_ATCC,WT,0,0
RNA-seq,differential,OV90,ARID1A,0,RNA-seq_OV90_WT_r1_Cl9E6,WT,0,0
RNA-seq,differential,OV90,ARID1A,0,RNA-seq_OV90_WT_r2_ATCC,WT,0,0
RNA-seq,differential,OV90,ARID1A,0,RNA-seq_OV90_WT_r2_Cl9E6,WT,0,0
RNA-seq,differential,OV90,ARID1A,0,RNA-seq_OV90_WT_r3_ATCC,WT,0,0
RNA-seq,differential,OV90,ARID1A,0,RNA-seq_OV90_WT_r3_Cl9E6,WT,0,0
