sample_name,flowcell,lane,BSF_name,original_name,data_source
RNA-seq_HAP1_BRD7_r1_923_10,BSF_0280_HGKV7BBXX,4,R1_923_10_S20101,R1_923_10,bsf
RNA-seq_HAP1_BCL7B_r3_4278_8,BSF_0280_HGKV7BBXX,2,R3_4278_8_S20086,R3_4278_8,bsf
RNA-seq_HAP1_BCL7B_r2_4278_8,BSF_0281_HGLTTBBXX,4,R2_4278_8_S20150,R2_4278_8,bsf
RNA-seq_HAP1_BCL7B_r1_4278_8,BSF_0281_HGLTTBBXX,2,R1_4278_8_S20125,R1_4278_8,bsf
RNA-seq_HAP1_BCL7A_r3_2434_10,BSF_0280_HGKV7BBXX,1,R3_2434_10_S20074,R3_2434_10,bsf
RNA-seq_HAP1_BCL7A_r2_2434_10,BSF_0281_HGLTTBBXX,3,R2_2434_10_S20139,R2_2434_10,bsf
RNA-seq_HAP1_BCL7A_r1_2434_10,BSF_0281_HGLTTBBXX,1,R1_2434_10_S20114,R1_2434_10,bsf
RNA-seq_HAP1_BCL11B_r3_2432_10,BSF_0280_HGKV7BBXX,4,R3_2432_10_S20110,R3_2432_10,bsf
RNA-seq_HAP1_BCL11B_r2_2432_10,BSF_0280_HGKV7BBXX,2,R2_2432_10_S20083,R2_2432_10,bsf
RNA-seq_HAP1_BCL11B_r1_2432_10,BSF_0281_HGLTTBBXX,4,R1_2432_10_S20147,R1_2432_10,bsf
RNA-seq_HAP1_BCL11A_r3_2426_10,BSF_0280_HGKV7BBXX,3,R3_2426_10_S20098,R3_2426_10,bsf
RNA-seq_HAP1_BCL11A_r2_2426_10,BSF_0280_HGKV7BBXX,1,R2_2426_10_S20071,R2_2426_10,bsf
RNA-seq_HAP1_BCL11A_r1_2426_10,BSF_0281_HGLTTBBXX,3,R1_2426_10_S20136,R1_2426_10,bsf
RNA-seq_HAP1_ARID2_r3_907_9,BSF_0281_HGLTTBBXX,1,R3_907_9_S20119,R3_907_9,bsf
RNA-seq_HAP1_ARID2_r2_907_9,BSF_0280_HGKV7BBXX,3,R2_907_9_S20093,R2_907_9,bsf
RNA-seq_HAP1_ARID2_r1_907_9,BSF_0280_HGKV7BBXX,1,R1_907_9_S20066,R1_907_9,bsf
RNA-seq_HAP1_ARID1B_r3_582_7,BSF_0280_HGKV7BBXX,4,R3_582_7_S20108,R3_582_7,bsf
RNA-seq_HAP1_ARID1B_r2_582_7,BSF_0280_HGKV7BBXX,2,R2_582_7_S20081,R2_582_7,bsf
RNA-seq_HAP1_ARID1B_r1_582_7,BSF_0281_HGLTTBBXX,4,R1_582_7_S20145,R1_582_7,bsf
RNA-seq_HAP1_ARID1A_r3_618_3,BSF_0280_HGKV7BBXX,2,R3_618_3_S20084,R3_618_3,bsf
RNA-seq_HAP1_ARID1A_r3_618_10,BSF_0280_HGKV7BBXX,3,R3_618_10_S20096,R3_618_10,bsf
RNA-seq_HAP1_ARID1A_r2_618_3,BSF_0281_HGLTTBBXX,4,R2_618_3_S20148,R2_618_3,bsf
RNA-seq_HAP1_ARID1A_r2_618_10,BSF_0280_HGKV7BBXX,1,R2_618_10_S20069,R2_618_10,bsf
RNA-seq_HAP1_ARID1A_r1_618_3,BSF_0281_HGLTTBBXX,2,R1_618_3_S20123,R1_618_3,bsf
RNA-seq_HAP1_ARID1A_r1_618_10,BSF_0281_HGLTTBBXX,3,R1_618_10_S20134,R1_618_10,bsf
RNA-seq_HAP1_ACTB_r3_2471_10,BSF_0281_HGLTTBBXX,4,R3_2471_10_S20153,R3_2471_10,bsf
RNA-seq_HAP1_ACTB_r2_2471_10,BSF_0281_HGLTTBBXX,2,R2_2471_10_S20128,R2_2471_10,bsf
RNA-seq_HAP1_ACTB_r1_2471_10,BSF_0280_HGKV7BBXX,4,R1_2471_10_S20103,R1_2471_10,bsf
