sample_name,flowcell,lane,BSF_name,original_name,data_source
ATAC-seq_HAP1_PHF10_r2_2778_11,BSF_0279_HG7MMBBXX,8,R2_HAP1_2778_11_S19981,R2_HAP1_2778_11,bsf
ATAC-seq_HAP1_SMARCA2_r1_4055_12,BSF_0279_HG7MMBBXX,2,R1_HAP1_4055_12_S19937,R1_HAP1_4055_12,bsf
ATAC-seq_HAP1_SMARCA2_r2_4055_12,BSF_0279_HG7MMBBXX,6,R2_HAP1_4055_12_S19967,R2_HAP1_4055_12,bsf
ATAC-seq_HAP1_SMARCA4_r1_2878_4,BSF_0279_HG7MMBBXX,2,R1_HAP1_2878_4_S19938,R1_HAP1_2878_4,bsf
ATAC-seq_HAP1_SMARCA4_r1_2878_6,BSF_0279_HG7MMBBXX,2,R1_HAP1_2878_6_S19939,R1_HAP1_2878_6,bsf
ATAC-seq_HAP1_SMARCA4_r2_2878_4,BSF_0279_HG7MMBBXX,6,R2_HAP1_2878_4_S19968,R2_HAP1_2878_4,bsf
ATAC-seq_HAP1_SMARCA4_r2_2878_6,BSF_0279_HG7MMBBXX,6,R2_HAP1_2878_6_S19969,R2_HAP1_2878_6,bsf
ATAC-seq_HAP1_SMARCC1_r1_2476_12,BSF_0279_HG7MMBBXX,2,R1_HAP1_2476_12_S19949,R1_HAP1_2476_12,bsf
ATAC-seq_HAP1_SMARCC1_r2_2476_12,BSF_0279_HG7MMBBXX,6,R2_HAP1_2476_12_S19979,R2_HAP1_2476_12,bsf
ATAC-seq_HAP1_SMARCC2_r1_2783_11,BSF_0279_HG7MMBBXX,2,R1_HAP1_2783_11_S19950,R1_HAP1_2783_11,bsf
ATAC-seq_HAP1_SMARCC2_r2_2783_11,BSF_0279_HG7MMBBXX,6,R2_HAP1_2783_11_S19980,R2_HAP1_2783_11,bsf
ATAC-seq_HAP1_SMARCD1_r1_2478_6,BSF_0279_HG7MMBBXX,2,R1_HAP1_2478_6_S19946,R1_HAP1_2478_6,bsf
ATAC-seq_HAP1_SMARCD1_r2_2478_6,BSF_0279_HG7MMBBXX,6,R2_HAP1_2478_6_S19976,R2_HAP1_2478_6,bsf
ATAC-seq_HAP1_SMARCD2_r1_2782_10,BSF_0279_HG7MMBBXX,2,R1_HAP1_2782_10_S19947,R1_HAP1_2782_10,bsf
ATAC-seq_HAP1_SMARCD2_r2_2782_10,BSF_0279_HG7MMBBXX,6,R2_HAP1_2782_10_S19977,R2_HAP1_2782_10,bsf
ATAC-seq_HAP1_SMARCD3_r1_2480_12,BSF_0279_HG7MMBBXX,2,R1_HAP1_2480_12_S19948,R1_HAP1_2480_12,bsf
ATAC-seq_HAP1_SMARCD3_r2_2480_12,BSF_0279_HG7MMBBXX,6,R2_HAP1_2480_12_S19978,R2_HAP1_2480_12,bsf
ATAC-seq_HAP1_WT_r1_C631,BSF_0279_HG7MMBBXX,2,R1_HAP1_C631_S19936,R1_HAP1_C631,bsf
ATAC-seq_HAP1_WT_r1_GFP,BSF_0279_HG7MMBBXX,4,R1_HAP1_WT_GFP_plus_S19961,R1_HAP1_WT_GFP_plus,bsf
ATAC-seq_HAP1_WT_r2_C631,BSF_0279_HG7MMBBXX,6,R2_HAP1_C631_S19966,R2_HAP1_C631,bsf
ATAC-seq_HAP1_WT_r2_GFP,BSF_0279_HG7MMBBXX,8,R2_HAP1_WT_GFP_plus_S19991,R2_HAP1_WT_GFP_plus,bsf
ATAC-seq_OV90_ARID1A_r1_21D,BSF_0279_HG7MMBBXX,4,R1_OV90_ARID1A_KO_21D_S19964,R1_OV90_ARID1A_KO_21D,bsf
ATAC-seq_OV90_ARID1A_r1_27B,BSF_0279_HG7MMBBXX,4,R1_OV90_ARID1A_KO_27B_S19965,R1_OV90_ARID1A_KO_27B,bsf
ATAC-seq_OV90_ARID1A_r3_21D,BSF_0279_HG7MMBBXX,8,R3_OV90_ARID1A_KO_21D_S19994,R3_OV90_ARID1A_KO_21D,bsf
ATAC-seq_OV90_ARID1A_r3_27B,BSF_0279_HG7MMBBXX,8,R3_OV90_ARID1A_KO_27B_S19995,R3_OV90_ARID1A_KO_27B,bsf
ATAC-seq_OV90_WT_r1_ATCC,BSF_0279_HG7MMBBXX,4,R1_OV90_parental_ATCC_S19962,R1_OV90_parental_ATCC,bsf
ATAC-seq_OV90_WT_r1_Cl9E6,BSF_0279_HG7MMBBXX,4,R1_OV90_parental_Cl9E6_S19963,R1_OV90_parental_Cl9E6,bsf
ATAC-seq_OV90_WT_r3_ATCC,BSF_0279_HG7MMBBXX,8,R3_OV90_parental_ATCC_S19992,R3_OV90_parental_ATCC,bsf
ATAC-seq_OV90_WT_r3_Cl9E6,BSF_0279_HG7MMBBXX,8,R3_OV90_parental_Cl9E6_S19993,R3_OV90_parental_Cl9E6,bsf
RNA-seq_OV90_WT_r3_Cl9E6,BSF_0281_HGLTTBBXX,1,R3_WT_S20121,R3_WT,bsf
RNA-seq_OV90_WT_r3_ATCC,BSF_0281_HGLTTBBXX,4,R3_P_A_S20155,R3_P_A,bsf
RNA-seq_OV90_WT_r2_Cl9E6,BSF_0280_HGKV7BBXX,3,R2_WT2_S20094,R2_WT2,bsf
RNA-seq_OV90_WT_r2_ATCC,BSF_0280_HGKV7BBXX,4,R2_P_A_S20111,R2_P_A,bsf
RNA-seq_OV90_WT_r1_Cl9E6,BSF_0280_HGKV7BBXX,1,R1_WT_S20068,R1_WT,bsf
RNA-seq_OV90_WT_r1_ATCC,BSF_0281_HGLTTBBXX,4,R1_P_A_S20154,R1_P_A,bsf
RNA-seq_OV90_ARID1A_r3_27B,BSF_0280_HGKV7BBXX,3,R3_A_27B_S20100,R3_A_27B,bsf
RNA-seq_OV90_ARID1A_r3_21D,BSF_0280_HGKV7BBXX,2,R3_A_21D_S20088,R3_A_21D,bsf
RNA-seq_OV90_ARID1A_r2_27B,BSF_0281_HGLTTBBXX,3,R2_A_27B_S20144,R2_A_27B,bsf
RNA-seq_OV90_ARID1A_r2_21D,BSF_0281_HGLTTBBXX,2,R2_A_21D_S20133,R2_A_21D,bsf
RNA-seq_OV90_ARID1A_r1_27B,BSF_0280_HGKV7BBXX,3,R1_A_27B_S20099,R1_A_27B,bsf
RNA-seq_OV90_ARID1A_r1_21D,BSF_0280_HGKV7BBXX,2,R1_A_21D_S20087,R1_A_21D,bsf
RNA-seq_HAP1_WT_r4_GFP,BSF_0281_HGLTTBBXX,2,R3_WTGFP_plus_2_S20143,R3_WTGFP_plus_2,bsf
RNA-seq_HAP1_WT_r3_GFP,BSF_0281_HGLTTBBXX,3,R3_WTGFP_plus_S20132,R3_WTGFP_plus,bsf
RNA-seq_HAP1_WT_r3_C631,BSF_0280_HGKV7BBXX,1,R3_P_Cl_S20076,R3_P_Cl,bsf
RNA-seq_HAP1_WT_r2_GFP,BSF_0280_HGKV7BBXX,4,R2_WTGFP_plus_S20107,R2_WTGFP_plus,bsf
RNA-seq_HAP1_WT_r2_C631,BSF_0281_HGLTTBBXX,1,R2_P_Cl_S20122,R2_P_Cl,bsf
RNA-seq_HAP1_WT_r1_GFP,BSF_0280_HGKV7BBXX,2,R1_WTGFP_plus_S20080,R1_WTGFP_plus,bsf
RNA-seq_HAP1_WT_r1_C631,BSF_0280_HGKV7BBXX,1,R1_P_CL_S20075,R1_P_CL,bsf
RNA-seq_HAP1_SMARCD3_r3_2480_12,BSF_0281_HGLTTBBXX,4,R3_2480_12_S20152,R3_2480_12,bsf
RNA-seq_HAP1_SMARCD3_r2_2480_12,BSF_0281_HGLTTBBXX,2,R2_2480_12_S20127,R2_2480_12,bsf
RNA-seq_HAP1_SMARCD3_r1_2480_12,BSF_0280_HGKV7BBXX,4,R1_2480_12_S20102,R1_2480_12,bsf
RNA-seq_HAP1_SMARCD2_r3_2782_10,BSF_0281_HGLTTBBXX,3,R3_2782_10_S20141,R3_2782_10,bsf
RNA-seq_HAP1_SMARCD2_r2_2782_10,BSF_0281_HGLTTBBXX,1,R2_2782_10_S20116,R2_2782_10,bsf
RNA-seq_HAP1_SMARCD2_r1_2782_10,BSF_0280_HGKV7BBXX,3,R1_2782_10_S20090,R1_2782_10,bsf
RNA-seq_HAP1_SMARCD1_r3_2478_6,BSF_0281_HGLTTBBXX,2,R3_2478_6_S20130,R3_2478_6,bsf
RNA-seq_HAP1_SMARCD1_r2_2478_6,BSF_0280_HGKV7BBXX,4,R2_2478_6_S20105,R2_2478_6,bsf
RNA-seq_HAP1_SMARCD1_r1_2478_6,BSF_0280_HGKV7BBXX,2,R1_2478_6_S20078,R1_2478_6,bsf
RNA-seq_HAP1_SMARCC2_r3_2783_11,BSF_0281_HGLTTBBXX,3,R3_2783_11_S20142,R3_2783_11,bsf
RNA-seq_HAP1_SMARCC2_r2_2783_11,BSF_0281_HGLTTBBXX,1,R2_2783_11_S20117,R2_2783_11,bsf
RNA-seq_HAP1_SMARCC2_r1_2783_11,BSF_0280_HGKV7BBXX,3,R1_2783_11_S20091,R1_2783_11,bsf
RNA-seq_HAP1_SMARCC1_r3_2476_12,BSF_0281_HGLTTBBXX,2,R3_2476_12_S20131,R3_2476_12,bsf
RNA-seq_HAP1_SMARCC1_r2_2476_12,BSF_0280_HGKV7BBXX,4,R2_2476_12_S20106,R2_2476_12,bsf
RNA-seq_HAP1_SMARCC1_r1_2476_12,BSF_0280_HGKV7BBXX,2,R1_2476_12_S20079,R1_2476_12,bsf
RNA-seq_HAP1_SMARCA4_r3_2878_6,BSF_0281_HGLTTBBXX,3,R3_2878_6_S20140,R3_2878_6,bsf
RNA-seq_HAP1_SMARCA4_r3_2878_4,BSF_0281_HGLTTBBXX,2,R3_2878_4_S20129,R3_2878_4,bsf
RNA-seq_HAP1_SMARCA4_r2_2878_6,BSF_0281_HGLTTBBXX,1,R2_2878_6_S20115,R2_2878_6,bsf
RNA-seq_HAP1_SMARCA4_r2_2878_4,BSF_0280_HGKV7BBXX,4,R2_2878_4_S20104,R2_2878_4,bsf
RNA-seq_HAP1_SMARCA4_r1_2878_6,BSF_0280_HGKV7BBXX,3,R1_2878_6_S20089,R1_2878_6,bsf
RNA-seq_HAP1_SMARCA4_r1_2878_4,BSF_0280_HGKV7BBXX,2,R1_2878_4_S20077,R1_2878_4,bsf
RNA-seq_HAP1_SMARCA2_r3_4055_12,BSF_0281_HGLTTBBXX,1,R3_4055_12_S20118,R3_4055_12,bsf
RNA-seq_HAP1_SMARCA2_r2_4055_12,BSF_0280_HGKV7BBXX,3,R2_4055_12_S20092,R2_4055_12,bsf
RNA-seq_HAP1_SMARCA2_r1_4055_12,BSF_0280_HGKV7BBXX,1,R1_4055_12_S20065,R1_4055_12,bsf
RNA-seq_HAP1_PHF10_r3_2778_11,BSF_0280_HGKV7BBXX,2,R3_2778_11_S20085,R3_2778_11,bsf
RNA-seq_HAP1_PHF10_r2_2778_11,BSF_0281_HGLTTBBXX,4,R2_2778_11_S20149,R2_2778_11,bsf
RNA-seq_HAP1_PHF10_r1_2778_11,BSF_0281_HGLTTBBXX,2,R1_2778_11_S20124,R1_2778_11,bsf
RNA-seq_HAP1_PBRM1_r3_1135_10,BSF_0280_HGKV7BBXX,1,R3_1135_10_S20073,R3_1135_10,bsf
RNA-seq_HAP1_PBRM1_r2_1135_10,BSF_0281_HGLTTBBXX,3,R2_1135_10_S20138,R2_1135_10,bsf
RNA-seq_HAP1_PBRM1_r1_1135_10,BSF_0281_HGLTTBBXX,1,R1_1135_10_S20113,R1_1135_10,bsf
RNA-seq_HAP1_DPF3_r3_2776_1,BSF_0281_HGLTTBBXX,1,R3_2776_1_S20120,R3_2776_1,bsf
RNA-seq_HAP1_DPF3_r2_2776_1,BSF_0280_HGKV7BBXX,3,R2_2776_1_S20095,R2_2776_1,bsf
RNA-seq_HAP1_DPF3_r1_2776_1,BSF_0280_HGKV7BBXX,1,R1_2776_1_S20067,R1_2776_1,bsf
RNA-seq_HAP1_DPF2_r3_2777_4,BSF_0280_HGKV7BBXX,4,R3_2777_4_S20109,R3_2777_4,bsf
RNA-seq_HAP1_DPF2_r2_2777_4,BSF_0280_HGKV7BBXX,2,R2_2777_4_S20082,R2_2777_4,bsf
RNA-seq_HAP1_DPF2_r1_2777_4,BSF_0281_HGLTTBBXX,4,R1_2777_4_S20146,R1_2777_4,bsf
RNA-seq_HAP1_DPF1_r3_2779_11,BSF_0280_HGKV7BBXX,3,R3_2779_11_S20097,R3_2779_11,bsf
RNA-seq_HAP1_DPF1_r2_2779_11,BSF_0280_HGKV7BBXX,1,R2_2779_11_S20070,R2_2779_11,bsf
RNA-seq_HAP1_DPF1_r1_2779_11,BSF_0281_HGLTTBBXX,3,R1_2779_11_S20135,R1_2779_11,bsf
RNA-seq_HAP1_BRD9_r3_934_10,BSF_0280_HGKV7BBXX,1,R3_934_10_S20072,R3_934_10,bsf
RNA-seq_HAP1_BRD9_r2_934_10,BSF_0281_HGLTTBBXX,3,R2_934_10_S20137,R2_934_10,bsf
RNA-seq_HAP1_BRD9_r1_934_10,BSF_0281_HGLTTBBXX,1,R1_934_10_S20112,R1_934_10,bsf
RNA-seq_HAP1_BRD7_r3_923_10,BSF_0281_HGLTTBBXX,4,R3_923_10_S20151,R3_923_10,bsf
RNA-seq_HAP1_BRD7_r2_923_10,BSF_0281_HGLTTBBXX,2,R2_923_10_S20126,R2_923_10,bsf
